2026-07-06 11:28:46,354 | INFO | Fire/smoke model loaded
2026-07-06 11:28:46,471 | INFO | Human model loaded
2026-07-06 11:28:46,471 | WARNING | GPIO setup skipped/failed: [WinError 2] The system cannot find the file specified
2026-07-06 11:28:46,471 | WARNING | Serial device not found
2026-07-06 11:28:46,471 | WARNING | Camera not opened. Reconnecting...
2026-07-06 11:28:46,494 | INFO | Server running on 0.0.0.0:8000
2026-07-06 11:28:46,495 | INFO | Serving on http://0.0.0.0:8000
2026-07-06 11:28:48,500 | WARNING | Camera not opened. Reconnecting...
2026-07-06 11:28:50,504 | WARNING | Camera not opened. Reconnecting...
2026-07-06 11:28:52,506 | WARNING | Camera not opened. Reconnecting...
2026-07-06 11:28:54,507 | WARNING | Camera not opened. Reconnecting...
2026-07-06 11:28:56,508 | WARNING | Camera not opened. Reconnecting...
2026-07-06 11:28:58,509 | WARNING | Camera not opened. Reconnecting...
2026-07-06 11:29:00,511 | WARNING | Camera not opened. Reconnecting...
2026-07-06 11:29:02,511 | WARNING | Camera not opened. Reconnecting...
2026-07-06 11:29:04,512 | WARNING | Camera not opened. Reconnecting...
2026-07-06 11:29:06,513 | WARNING | Camera not opened. Reconnecting...
2026-07-06 11:29:08,515 | WARNING | Camera not opened. Reconnecting...
2026-07-06 11:29:10,516 | WARNING | Camera not opened. Reconnecting...
2026-07-06 11:29:12,518 | WARNING | Camera not opened. Reconnecting...
2026-07-06 11:29:14,519 | WARNING | Camera not opened. Reconnecting...
2026-07-06 11:29:16,520 | WARNING | Camera not opened. Reconnecting...
2026-07-06 11:29:18,520 | WARNING | Camera not opened. Reconnecting...
2026-07-06 11:29:20,524 | WARNING | Camera not opened. Reconnecting...
2026-07-06 11:29:22,525 | WARNING | Camera not opened. Reconnecting...
2026-07-06 11:29:24,526 | WARNING | Camera not opened. Reconnecting...
2026-07-06 11:29:26,527 | WARNING | Camera not opened. Reconnecting...
2026-07-06 11:29:28,528 | WARNING | Camera not opened. Reconnecting...
2026-07-06 11:29:30,529 | WARNING | Camera not opened. Reconnecting...
2026-07-06 11:29:32,530 | WARNING | Camera not opened. Reconnecting...
